Visible extractable rat silhouettes found in source image: 16
Note: source title says 24-frame uniform run cycle, but only 16 distinct white silhouettes are visibly extractable from this file.

idx	bbox(x0,y0,x1,y1)	area	tight_size
01	(44,23,244,95)	4672	200x72
02	(545,23,747,98)	4284	202x75
03	(796,24,998,103)	4566	202x79
04	(292,25,497,102)	4535	205x77
05	(42,135,241,208)	4313	199x73
06	(555,140,753,207)	4662	198x67
07	(800,140,1003,204)	4698	203x64
08	(297,141,498,205)	4687	201x64
09	(551,271,751,346)	4489	200x75
10	(292,272,496,349)	4646	204x77
11	(798,272,1004,354)	4797	206x82
12	(36,274,242,351)	4649	206x77
13	(790,432,998,508)	5080	208x76
14	(34,440,226,513)	4857	192x73
15	(307,441,489,506)	4541	182x65
16	(534,443,743,511)	5198	209x68
